F1,F2,F3,F4,F5,ID,X,Y,Class
-84.763511,31.18911,5.3,13.9,54.382,202,713111.587158,3452715.0407,0
-84.76352,31.189135,5.0,11.6,54.33,203,713110.69214,3452717.80651,0
-84.763529,31.189161,5.0,11.8,54.304,204,713109.786919,3452720.6054,0
-84.763537,31.189186,3.9,9.7,54.28,205,713108.920046,3452723.39397,0
-84.763545,31.189211,3.5,9.7,54.259,206,713108.081319,3452726.20529,0
-84.763554,31.189237,3.6,8.7,54.201,207,713107.214447,3452728.99387,0
-84.763562,31.189262,3.2,7.4,54.176,208,713106.406108,3452731.71707,0
-84.763569,31.189287,4.6,8.4,54.224,209,713105.642509,3452734.58537,0
-84.763577,31.189313,4.8,8.0,54.212,210,713104.775639,3452737.37394,0
-84.763581,31.189339,3.8,7.6,54.253,211,713104.355384,3452740.23809,0
-84.763592,31.189363,3.9,7.5,54.227,212,713103.328055,3452742.94578,0
-84.7636,31.189389,3.6,7.4,54.245,213,713102.498637,3452745.76838,0
-84.763608,31.189414,4.2,8.7,54.219,214,713101.613827,3452748.50114,0
-84.763617,31.189439,4.2,9.1,54.215,215,713100.719486,3452751.23369,0
-84.763626,31.189464,4.1,8.7,54.219,216,713099.814942,3452753.99932,0
-84.763635,31.189489,3.1,8.0,54.22,217,713098.939216,3452756.75444,0
-84.763643,31.189514,2.8,7.4,54.196,218,713098.082328,3452759.52103,0
-84.763652,31.189539,3.3,7.6,54.238,219,713097.206378,3452762.28724,0
-84.76366,31.189564,3.0,7.1,54.226,220,713096.311143,3452765.06414,0
-84.763669,31.189589,2.5,5.8,54.213,221,713095.396397,3452767.86284,1
-84.763678,31.189615,2.6,4.9,54.222,222,713094.481875,3452770.65045,1
-84.763687,31.18964,2.1,3.9,54.194,223,713093.605479,3452773.43882,1
-84.763695,31.189666,2.5,4.4,54.175,224,713092.737941,3452776.26066,1
-84.763704,31.18969,3.4,6.7,54.149,225,713091.85336,3452778.98232,0
-84.763713,31.189715,4.2,6.8,54.184,226,713090.94882,3452781.74795,0
-84.763722,31.18974,4.0,7.3,54.183,227,713090.00638,3452784.50172,0
-84.763731,31.189765,4.6,7.9,54.188,228,713089.140637,3452787.23486,0
-84.76374,31.189791,4.2,7.3,54.223,229,713088.168933,3452790.02131,0
-84.763748,31.189816,3.9,7.8,54.219,230,713087.397381,3452792.81181,0
-84.763757,31.189841,4.5,9.4,54.239,231,713086.530518,3452795.60038,0
-84.763766,31.189866,4.6,9.7,54.233,232,713085.616449,3452798.36582,0
-84.763774,31.189891,4.3,11.0,54.271,233,713084.740505,3452801.13202,0
-84.763783,31.189917,4.7,8.6,54.278,234,713083.816458,3452803.91944,0
-84.763791,31.189942,4.4,7.5,54.34,235,713083.005887,3452806.75352,0
-84.7638,31.189968,5.0,8.6,54.328,236,713082.110433,3452809.54151,0
-84.763809,31.189993,4.0,7.7,54.306,237,713081.205001,3452812.35148,0
-84.763818,31.190018,5.3,8.6,54.271,238,713080.300017,3452815.13929,0
-84.763826,31.190044,4.9,8.3,54.243,239,713079.433606,3452817.90569,0
-84.763835,31.190068,5.3,7.3,54.237,240,713078.548358,3452820.66061,0
-84.763844,31.190094,4.8,6.4,54.241,241,713077.653579,3452823.41535,0
-84.763852,31.190119,4.9,6.8,54.252,242,713076.768332,3452826.17027,0
-84.763861,31.190144,4.1,5.8,54.221,243,713075.91123,3452828.94795,0
-84.763869,31.190169,3.2,5.5,54.209,244,713075.073414,3452831.71493,0
-84.763878,31.190194,3.2,5.3,54.218,245,713074.178637,3452834.46967,1
-84.763887,31.190219,3.1,4.6,54.233,246,713073.274329,3452837.22421,1
-84.763896,31.190244,3.7,4.7,54.216,247,713072.379104,3452840.00112,1
-84.763904,31.190269,3.6,4.7,54.221,248,713071.464593,3452842.78873,1
-84.763914,31.190294,3.9,4.9,54.213,249,713070.512856,3452845.53122,1
-84.763923,31.190319,3.8,4.8,54.208,250,713069.589488,3452848.28537,1
-84.763932,31.190344,2.9,5.7,54.235,251,713068.656589,3452851.03934,0
-84.763941,31.190369,2.9,6.1,54.26,252,713067.752284,3452853.79388,0
-84.76395,31.190394,2.9,6.5,54.294,253,713066.848203,3452856.53734,0
-84.763959,31.190419,4.2,8.5,54.32,254,713065.982023,3452859.29265,0
-84.763968,31.190444,3.6,8.1,54.338,255,713065.068412,3452862.03591,0
-84.763976,31.190469,3.6,9.6,54.368,256,713064.183619,3452864.76867,0
-84.763985,31.190494,3.5,8.8,54.423,257,713063.298601,3452867.51251,0
-84.763993,31.190519,3.9,7.9,54.446,258,713062.470322,3452870.27968,0
-84.764001,31.190544,3.8,9.1,54.505,259,713061.642267,3452873.03576,0
-84.76401,31.190569,3.6,9.3,54.516,260,713060.776089,3452875.79108,0
-84.764019,31.190593,3.8,7.0,54.51,261,713059.87246,3452878.51236,0
-84.764029,31.190618,3.6,7.1,54.633,262,713058.797722,3452881.208,0
-84.764038,31.190643,3.9,7.9,54.689,263,713057.902952,3452883.96273,0
-84.764046,31.190668,3.7,7.9,54.72,264,713057.046083,3452886.72933,0
-84.764055,31.190693,3.7,7.6,54.751,265,713056.151313,3452889.48406,0
-84.764064,31.190718,3.5,8.5,54.83,266,713055.256096,3452892.26097,0
-84.764072,31.190744,3.1,7.3,54.863,267,713054.399003,3452895.03865,0
-84.764081,31.190769,2.8,6.1,54.909,268,713053.542135,3452897.80525,0
-84.764089,31.190794,2.4,5.9,54.957,269,713052.704777,3452900.55005,0
-84.764098,31.190818,2.3,6.2,55.009,270,713051.791397,3452903.28223,0
-84.764107,31.190844,2.2,5.9,55.061,271,713050.905713,3452906.05933,0
-84.764116,31.190868,2.2,5.5,55.105,272,713049.973719,3452908.76895,0
-84.764134,31.190917,2.0,5.4,55.199,273,713048.100203,3452914.18799,1
-84.764143,31.190942,1.7,5.3,55.264,274,713047.196131,3452916.93145,1
-84.764152,31.190967,1.9,4.6,55.301,275,713046.329959,3452919.68677,1
-84.764161,31.190992,2.1,5.4,55.366,276,713045.407051,3452922.41875,0
-84.76417,31.191017,2.6,6.0,55.425,277,713044.494122,3452925.12875,0
-84.764179,31.191042,2.8,5.7,55.487,278,713043.599583,3452927.8724,0
-84.764303,31.191388,4.1,7.9,57.295,279,713030.97527,3452966.08183,0
-84.764308,31.191401,4.1,8.5,57.284,280,713030.498178,3452967.51405,0
-84.764313,31.191419,4.3,8.6,57.298,281,713029.91569,3452969.44325,0
-84.764321,31.19144,4.0,8.3,57.341,282,713029.153128,3452971.79029,0
-84.764329,31.191465,3.7,7.2,57.389,283,713028.307147,3452974.49055,0
-84.764338,31.191489,3.8,7.6,57.441,284,713027.431677,3452977.23459,0
-84.764348,31.191515,3.7,7.3,57.398,285,713026.393734,3452979.99752,0
-84.764357,31.19154,3.5,7.7,57.349,286,713025.518264,3452982.74156,0
-84.764365,31.191564,2.9,6.9,57.387,287,713024.623734,3452985.48521,0
-84.764374,31.191589,2.7,6.0,57.432,288,713023.757347,3452988.25161,0
-84.764383,31.191614,2.9,5.9,57.476,289,713022.84398,3452990.98379,0
-84.764392,31.191639,3.1,5.8,57.515,290,713021.920634,3452993.73795,0
-84.764401,31.191664,3.0,5.6,57.506,291,713021.02588,3452996.49269,0
-84.76441,31.191689,3.4,5.2,57.541,292,713020.103207,3452999.21359,0
-84.764419,31.191714,3.4,5.4,57.576,293,713019.236599,3453001.99108,0
-84.764427,31.191739,3.7,6.3,57.593,294,713018.379746,3453004.75768,0
-84.764436,31.191764,4.1,7.0,57.63,295,713017.485219,3453007.50133,0
-84.764444,31.191789,4.5,8.3,57.686,296,713016.618836,3453010.26773,0
-84.764453,31.191814,5.4,9.5,57.732,297,713015.724309,3453013.01138,0
-84.764461,31.191838,5.8,8.4,57.756,298,713014.916905,3453015.69025,0
-84.764468,31.19186,6.2,10.3,57.782,299,713014.164328,3453018.0153,0
-84.764475,31.191881,6.6,10.5,57.824,300,713013.449427,3453020.3633,0
-84.764483,31.191902,6.6,10.1,57.868,301,713012.696402,3453022.71052,0
-84.764489,31.191921,7.0,7.4,57.882,302,713012.062903,3453024.80506,0
-84.764495,31.191939,5.9,9.4,57.915,303,713011.451604,3453026.74478,0
-84.764501,31.191957,6.8,9.4,57.961,304,713010.839857,3453028.70666,0
-84.764507,31.191974,6.6,8.1,57.962,305,713010.228334,3453030.65746,0
-84.764513,31.191992,5.9,7.2,58.005,306,713009.616363,3453032.63043,0
-84.764519,31.19201,5.2,6.5,58.032,307,713008.995534,3453034.56995,0
-84.764524,31.192028,6.4,8.1,58.078,308,713008.440524,3453036.55517,0
-84.764531,31.192045,6.1,7.5,58.078,309,713007.781797,3453038.48283,0
-84.764536,31.192063,6.2,7.0,58.093,310,713007.236094,3453040.47933,0
-84.764543,31.192081,5.6,6.0,58.118,311,713006.539243,3453042.40622,0
